^yb1 ䷀乾:	Qian:
小有悔，无大咎。	There may be some small occasion for repentance, but there will not be any great error.
象傳:	Xiang Zhuan:
幹父之蠱，終无咎也。	'He deals with the troubles caused by his father:' - in the end there will be no error.
5 ䷑蠱:	Gu:
六四：裕父之蠱，往見吝。	The fourth SIX, divided, shows (a son) viewing indulgently the troubles caused by his father. If he go forward, he will find cause to regret it.
象傳:	Xiang Zhuan:
裕父之蠱，往未得也。	'He views indulgently the troubles caused by his father:' - if he go forward, he will not succeed.
6 ䷑蠱:	Gu:
六五：幹父之蠱，用譽。	The fifth SIX, divided, shows (a son) dealing with the troubles caused by his father. He obtains the praise of using (the fit instrument for his work).
象傳:	Xiang Zhuan:
干父之蠱；承以德也。	'He deals with the troubles caused by his father, and obtains praise:' - he is responded to (by the subject of line two) with all his virtue.
7 ䷑蠱:	Gu:
上九：不事王侯，高尚其事。	The sixth NINE, undivided, shows us one who does not serve either king or feudal lord, but in a lofty spirit prefers (to attend to) his own affairs.
象傳:	Xiang Zhuan:
不事王侯，志可則也。	'He does not serve either king or feudal lord:' - but his aim may be a model (to others).
^yb19 ䷒臨:	Lin:
臨：元，亨，利，貞。至于八月有凶。	Lin (indicates that under the conditions supposed in it) there will be great progress and success, while it will be advantageous to be firmly correct. In the eighth month there will be evil.
彖傳:	Tuan Zhuan:
臨，剛浸而長。	In Lin (we see) the strong (lines) gradually increasing and advancing. 
說而順，剛中而應，大亨以正，天之道也。	(The lower trigram is the symbol of) being pleased, and (the upper of) being compliant. The strong (line) is in the central position, and is properly responded to. 'There is great progress and success, along with firm correctness:' - this is the way of Heaven. 
至于八月有凶，消不久也。	'In the eighth month there will be evil:' - (the advancing power) will decay after no long time.
象傳:	Xiang Zhuan:
澤上有地，臨；	(The trigram for) the waters of a marsh and that for the earth above it form Lin. 
君子以教思无窮，容保民无疆。	The superior man, in accordance with this, has his purposes of instruction that are inexhaustible, and nourishes and supports the people without limit.
2 ䷒臨:	Lin:
初九：咸臨，貞吉。	The first NINE, undivided, shows its subject advancing in company (with the subject of the second line). Through his firm correctness there will be good fortune.
象傳:	Xiang Zhuan:
咸臨貞吉，志行正也。	'The good fortune through the firm correctness of (the subject of the first line) advancing in company (with the subject of the second)' is due to his will being set on doing what is right.
3 ䷒臨:	Lin:
九二：咸臨，吉无不利。	The second NINE, undivided, shows its subject advancing in company (with the subject of the first line). There will be good fortune; (advancing) will be in every way advantageous.
象傳:	Xiang Zhuan:
咸臨，吉无不利；未順命也。	'The good fortune and every possible advantage attending the advance (of the subject of the second line), in company (with the subject of the first),' arises from the fact that those (to whom the advance is made) are not yet obedient to the ordinances (of Heaven).
4 ䷒臨:	Lin:
六三：甘臨，无攸利。	The third SIX, divided, shows one well pleased (indeed) to advance, (but whose action) will be in no way advantageous. 
既憂之，无咎。	If he become anxious about it (however), there will be no error.
象傳:	Xiang Zhuan:
甘臨，位不當也。	'He (shows himself) well pleased to advance:' - his position is not that appropriate to him. 
既憂之，咎不長也。	'If he become anxious, however, about his action,' his error will not be continued.
5 ䷒臨:	Lin:
六四：至臨，无咎。	The fourth SIX, divided, shows one advancing in the highest mode. There will be no error.
象傳:	Xiang Zhuan:
至臨无咎，位當也。	'The freedom from error consequent on the advance in the highest mode' is due to the (various) appropriateness of the position.
6 ䷒臨:	Lin:
六五：知臨，大君之宜，吉。	The fifth SIX, divided, shows the advance of wisdom, such as befits the great ruler. There will be good fortune.
象傳:	Xiang Zhuan:
大君之宜，行中之謂也。	'What befits the great ruler' means the pursuing the course of the due mean.
7 ䷒臨:	Lin:
上六：敦臨，吉无咎。	The sixth SIX, divided, shows the advance of honesty and generosity. There will be good fortune, and no error.
象傳:	Xiang Zhuan:
敦臨之吉，志在內也。	'The good fortune consequent on the advance of honesty and generosity' is due to the will (of the subject of the line) being set on the subjects of (the first two lines of) the inner (trigram).
^yb20 ䷓觀:	Guan:
觀：盥而不薦，有孚顒若。	Guan shows (how he whom it represents should be like) the worshipper who has washed his hands, but not (yet) presented his offerings - with sincerity and an appearance of dignity (commanding reverent regard).
彖傳:	Tuan Zhuan:
大觀在上，順而巽，	The great Manifester occupies an upper place (in the figure), which consists of (the trigrams whose attributes are) docility and flexibility. 
中正以觀天下。	He is in the central position and his correct place, and thus exhibits (his lessons) to all under heaven. 
觀，盥而不薦，有孚顒若，下觀而化也。	'Guan shows its subject like a worshipper who has washed his hands, but not (yet) presented his offerings; - with sincerity and an appearance of dignity (commanding reverent regard):' - (all) beneath look to him and are transformed. 
觀天之神道，而四時不忒，	When we contemplate the spirit-like way of Heaven, we see how the four seasons proceed without error. 
聖人以神道設教，而天下服矣。	The sages, in accordance with (this) spirit-like way, laid down their instructions, and all under heaven yield submission to them.
象傳:	Xiang Zhuan:
風行地上，觀；	(The trigram representing) the earth, and that for wind moving above it, form Guan. 
先王以省方，觀民設教。	The ancient kings, in accordance with this, examined the (different) regions (of the kingdom), to see the (ways of the) people, and set forth their instructions.
2 ䷓觀:	Guan:
初六：童觀，小人无咎，君子吝。	The first SIX, divided, shows the looking of a lad - not blamable in men of inferior rank, but matter for regret in superior men.
象傳:	Xiang Zhuan:
初六童觀，小人道也。	'The looking of a lad shown by the first six, (divided); indicates the way of the inferior people.
3 ䷓觀:	Guan:
六二：闚觀，利女貞。	The second SIX, divided, shows one peeping out from a door. It would be advantageous if it were (merely) the firm correctness of a female.
象傳:	Xiang Zhuan:
窺觀女貞，亦可醜也。	'The firm correctness of a woman, in peeping out from a door' is also a thing to be ashamed of (in a superior man).
4 ䷓觀:	Guan:
六三：觀我生，進退。	The third SIX, divided, shows one looking at (the course of) his own life, to advance or recede (accordingly).
象傳:	Xiang Zhuan:
觀我生，進退；未失道也。	'He looks at (the course of his own life, to advance or recede (accordingly):' - he will not err in the path (to be pursued).
5 ䷓觀:	Guan:
六四：觀國之光，利用賓于王。	The fourth SIX, divided, shows one contemplating the glory of the kingdom. It will be advantageous for him, being such as he is, (to seek) to be a guest of the king.
象傳:	Xiang Zhuan:
觀國之光，尚賓也。	'He contemplates the glory of the kingdom:'(thence) arises the wish to be a guest (at court).
6 ䷓觀:	Guan:
九五：觀我生，君子无咎。	The fifth NINE, undivided, shows its subject contemplating his own life(-course). A superior man, he will (thus) fall into no error.
